,AveragePrice,Date,Total_Vol_conv,Total_Vol_org,is_superbowl,region
2699,0.89,2015-02-01,44655461.51,,True,TotalUS
5506,0.76,2016-02-07,52288697.89,,True,TotalUS
8366,0.77,2017-02-05,61034457.1,,True,TotalUS
2698,0.95,2015-02-08,32137333.01,32137333.01,False,TotalUS
8365,0.87,2017-02-12,41077470.65,41077470.65,False,TotalUS
11825,1.36,2015-02-01,,740896.97,True,TotalUS
14631,1.44,2016-02-07,,758795.1,True,TotalUS
17491,1.36,2017-02-05,,1015621.03,True,TotalUS
11824,1.48,2015-02-08,,730874.31,False,TotalUS
17490,1.41,2017-02-12,,1060775.98,False,TotalUS
