Name,Species,Weight_g,Length_cm,Height_pct,Width_pct
Bream,1,242.0,30.0,38.4,13.4
Bream,1,290.0,31.2,40.0,13.8
Bream,1,340.0,31.1,39.8,15.1
Bream,1,363.0,33.5,38.0,13.3
Bream,1,430.0,34.0,36.6,15.1
Bream,1,450.0,34.7,39.2,14.2
Bream,1,500.0,34.5,41.1,15.3
Bream,1,390.0,35.0,36.2,13.4
Bream,1,450.0,35.1,39.9,13.8
Bream,1,500.0,36.2,39.3,13.7
Bream,1,475.0,36.2,39.4,14.1
Bream,1,500.0,36.2,39.7,13.3
Bream,1,500.0,36.4,37.8,12.0
Bream,1,,37.3,37.3,13.6
Bream,1,600.0,37.2,40.2,13.9
Bream,1,600.0,37.2,41.5,15.0
Bream,1,700.0,38.3,38.8,13.8
Bream,1,700.0,38.5,38.8,13.5
Bream,1,610.0,38.6,40.5,13.3
Bream,1,650.0,38.7,37.4,14.8
Bream,1,575.0,39.5,38.3,14.1
Bream,1,685.0,39.2,40.8,13.7
Bream,1,620.0,39.7,39.1,13.3
Bream,1,680.0,40.6,38.1,15.1
Bream,1,700.0,40.5,40.1,13.8
Bream,1,725.0,40.9,40.0,14.8
Bream,1,720.0,40.6,40.3,15.0
Bream,1,714.0,41.5,39.8,14.1
Bream,1,850.0,41.6,40.6,14.9
Bream,1,1000.0,42.6,44.5,15.5
Bream,1,920.0,44.1,40.9,14.3
Bream,1,955.0,44.0,41.1,14.3
Bream,1,925.0,45.3,41.4,14.9
Bream,1,975.0,45.9,40.6,14.7
Bream,1,950.0,46.5,37.9,13.7
Whitefish,2,270.0,28.7,29.2,14.8
Whitefish,2,270.0,29.3,27.8,14.5
Whitefish,2,306.0,30.8,28.5,15.2
Whitefish,2,540.0,34.0,31.6,19.3
Whitefish,2,800.0,39.6,29.7,16.6
Whitefish,2,1000.0,43.5,28.4,15.0
Roach,3,40.0,16.2,25.6,14.0
Roach,3,69.0,20.3,26.1,13.9
Roach,3,78.0,21.2,26.3,13.7
Roach,3,87.0,22.2,25.3,14.3
Roach,3,120.0,22.2,28.0,16.1
Roach,3,,22.8,28.4,14.7
Roach,3,110.0,23.1,26.7,14.7
Roach,3,120.0,23.7,25.8,13.9
Roach,3,150.0,24.7,23.5,15.2
Roach,3,145.0,24.3,27.3,14.6
Roach,3,160.0,25.3,27.8,15.1
Roach,3,140.0,25.0,26.2,13.3
Roach,3,160.0,25.0,25.6,15.2
Roach,3,169.0,27.2,27.7,14.1
Roach,3,161.0,26.7,25.9,13.6
Roach,3,200.0,26.8,27.6,15.4
Roach,3,180.0,27.9,25.4,14.0
Roach,3,290.0,29.2,30.4,15.4
Roach,3,272.0,30.6,28.0,15.6
Roach,3,390.0,35.0,27.1,15.3
Parkki,4,55.0,16.5,41.5,14.1
Parkki,4,60.0,17.4,37.8,13.3
Parkki,4,90.0,19.8,37.4,13.5
Parkki,4,120.0,21.3,39.4,13.7
Parkki,4,150.0,22.4,39.7,14.7
Parkki,4,140.0,23.2,36.8,14.2
Parkki,4,170.0,23.2,40.5,14.7
Parkki,4,145.0,24.1,40.4,13.1
Parkki,4,200.0,25.8,40.1,14.2
Parkki,4,273.0,28.0,39.6,14.8
Parkki,4,300.0,29.0,39.2,14.6
Smelt,5,6.7,10.8,16.1,9.7
Smelt,5,7.5,11.6,17.0,10.0
Smelt,5,7.0,11.6,14.9,9.9
Smelt,5,9.7,12.0,18.3,11.5
Smelt,5,9.8,12.4,16.8,10.3
Smelt,5,8.7,12.6,15.7,10.2
Smelt,5,10.0,13.1,16.9,9.8
Smelt,5,9.9,13.1,16.9,8.9
Smelt,5,9.8,13.2,16.7,8.7
Smelt,5,12.2,13.4,15.6,10.4
Smelt,5,13.4,13.5,18.0,9.4
Smelt,5,12.2,13.8,16.5,9.1
Smelt,5,19.7,15.2,18.9,13.6
Smelt,5,19.9,16.2,18.1,11.6
Pike,6,200.0,34.8,16.0,9.7
Pike,6,300.0,37.8,15.1,11.0
Pike,6,300.0,38.8,15.3,11.3
Pike,6,300.0,39.8,15.8,10.1
Pike,6,430.0,40.5,18.0,11.3
Pike,6,345.0,41.0,15.6,9.7
Pike,6,456.0,45.5,16.0,9.5
Pike,6,510.0,45.5,15.0,9.8
Pike,6,540.0,45.8,17.0,11.2
Pike,6,500.0,48.0,14.5,10.2
Pike,6,567.0,48.7,16.0,10.0
Pike,6,770.0,51.2,15.0,10.5
Pike,6,950.0,55.1,16.2,11.2
Pike,6,1250.0,59.7,17.9,11.7
Pike,6,1600.0,64.0,15.0,9.6
Pike,6,1550.0,64.0,15.0,9.6
Pike,6,1650.0,68.0,15.9,11.0
Perch,7,5.9,8.8,24.0,16.0
Perch,7,32.0,14.7,24.0,13.6
Perch,7,40.0,16.0,23.9,15.2
Perch,7,51.5,17.2,26.7,15.3
Perch,7,70.0,18.5,24.8,15.9
Perch,7,100.0,19.2,27.2,17.3
Perch,7,78.0,19.4,26.8,16.1
Perch,7,80.0,20.2,27.9,15.1
Perch,7,85.0,20.8,24.7,14.6
Perch,7,85.0,21.0,24.2,13.2
Perch,7,110.0,22.5,25.3,15.8
Perch,7,115.0,22.5,26.3,14.7
Perch,7,125.0,22.5,25.3,16.3
Perch,7,130.0,22.8,28.0,15.5
Perch,7,120.0,23.5,26.0,14.5
Perch,7,120.0,23.5,24.0,15.0
Perch,7,130.0,23.5,26.0,15.0
Perch,7,135.0,23.5,25.0,15.0
Perch,7,110.0,23.5,23.5,17.0
Perch,7,130.0,24.0,24.4,15.1
Perch,7,150.0,24.0,28.3,15.1
Perch,7,145.0,24.2,24.6,15.0
Perch,7,150.0,24.5,21.3,14.8
Perch,7,170.0,25.0,25.1,14.9
Perch,7,225.0,25.5,28.6,14.6
Perch,7,145.0,25.5,25.0,15.0
Perch,7,188.0,26.2,25.7,15.9
Perch,7,180.0,26.5,24.3,13.9
Perch,7,197.0,27.0,24.3,15.7
Perch,7,218.0,28.0,25.6,14.8
Perch,7,300.0,28.7,29.0,17.9
Perch,7,260.0,28.9,24.8,15.0
Perch,7,265.0,28.9,24.4,15.0
Perch,7,250.0,28.9,25.2,15.8
Perch,7,250.0,29.4,26.6,14.3
Perch,7,300.0,30.1,25.2,15.4
Perch,7,320.0,31.6,24.1,15.1
Perch,7,514.0,34.0,29.5,17.7
Perch,7,556.0,36.5,28.1,17.5
Perch,7,840.0,37.3,30.8,20.9
Perch,7,685.0,39.0,27.9,17.6
Perch,7,700.0,38.3,27.7,17.6
Perch,7,700.0,39.4,27.5,15.9
Perch,7,690.0,39.3,26.9,16.2
Perch,7,900.0,41.4,26.9,18.1
Perch,7,650.0,41.4,26.9,14.5
Perch,7,820.0,41.3,30.1,17.8
Perch,7,850.0,42.3,28.2,16.8
Perch,7,900.0,42.5,27.6,17.0
Perch,7,1015.0,42.4,29.2,17.6
Perch,7,820.0,42.5,26.2,15.6
Perch,7,1100.0,44.6,28.7,15.4
Perch,7,1000.0,45.2,26.4,16.1
Perch,7,1100.0,45.5,27.5,16.3
Perch,7,1000.0,46.0,27.4,17.7
Perch,7,1000.0,46.6,26.8,16.3
