Name,Weight_g,Length_cm,Height_pct,Width_pct
Perch,5.9,8.8,24.0,16.0
Perch,32.0,14.7,24.0,13.6
Perch,40.0,16.0,23.9,15.2
Perch,51.5,17.2,26.7,15.3
Perch,70.0,18.5,24.8,15.9
Perch,100.0,19.2,27.2,17.3
Perch,78.0,19.4,26.8,16.1
Perch,80.0,20.2,27.9,15.1
Perch,85.0,20.8,24.7,14.6
Perch,85.0,21.0,24.2,13.2
Perch,110.0,22.5,25.3,15.8
Perch,115.0,22.5,26.3,14.7
Perch,125.0,22.5,25.3,16.3
Perch,130.0,22.8,28.0,15.5
Perch,120.0,23.5,26.0,14.5
Perch,120.0,23.5,24.0,15.0
Perch,130.0,23.5,26.0,15.0
Perch,135.0,23.5,25.0,15.0
Perch,110.0,23.5,23.5,17.0
Perch,130.0,24.0,24.4,15.1
Perch,150.0,24.0,28.3,15.1
Perch,145.0,24.2,24.6,15.0
Perch,150.0,24.5,21.3,14.8
Perch,170.0,25.0,25.1,14.9
Perch,225.0,25.5,28.6,14.6
Perch,145.0,25.5,25.0,15.0
Perch,188.0,26.2,25.7,15.9
Perch,180.0,26.5,24.3,13.9
Perch,197.0,27.0,24.3,15.7
Perch,218.0,28.0,25.6,14.8
Perch,300.0,28.7,29.0,17.9
Perch,260.0,28.9,24.8,15.0
Perch,265.0,28.9,24.4,15.0
Perch,250.0,28.9,25.2,15.8
Perch,250.0,29.4,26.6,14.3
Perch,300.0,30.1,25.2,15.4
Perch,320.0,31.6,24.1,15.1
Perch,514.0,34.0,29.5,17.7
Perch,556.0,36.5,28.1,17.5
Perch,840.0,37.3,30.8,20.9
Perch,685.0,39.0,27.9,17.6
Perch,700.0,38.3,27.7,17.6
Perch,700.0,39.4,27.5,15.9
Perch,690.0,39.3,26.9,16.2
Perch,900.0,41.4,26.9,18.1
Perch,650.0,41.4,26.9,14.5
Perch,820.0,41.3,30.1,17.8
Perch,850.0,42.3,28.2,16.8
Perch,900.0,42.5,27.6,17.0
Perch,1015.0,42.4,29.2,17.6
Perch,820.0,42.5,26.2,15.6
Perch,1100.0,44.6,28.7,15.4
Perch,1000.0,45.2,26.4,16.1
Perch,1100.0,45.5,27.5,16.3
Perch,1000.0,46.0,27.4,17.7
Perch,1000.0,46.6,26.8,16.3
Pike,200.0,34.8,16.0,9.7
Pike,300.0,37.8,15.1,11.0
Pike,300.0,38.8,15.3,11.3
Pike,300.0,39.8,15.8,10.1
Pike,430.0,40.5,18.0,11.3
Pike,345.0,41.0,15.6,9.7
Pike,456.0,45.5,16.0,9.5
Pike,510.0,45.5,15.0,9.8
Pike,540.0,45.8,17.0,11.2
Pike,500.0,48.0,14.5,10.2
Pike,567.0,48.7,16.0,10.0
Pike,770.0,51.2,15.0,10.5
Pike,950.0,55.1,16.2,11.2
Pike,1250.0,59.7,17.9,11.7
Pike,1600.0,64.0,15.0,9.6
Pike,1550.0,64.0,15.0,9.6
Pike,1650.0,68.0,15.9,11.0
